red,orange,yellow,green,blue,violet
531.2465209960938,352.5622863769531,5763.3017578125,11224.11328125,678.15185546875,59947.7890625
492.988037109375,322.4144592285156,5735.50146484375,11191.0908203125,543.6065063476562,59947.7890625
486.4294128417969,345.8627624511719,5618.22021484375,10948.6376953125,630.4099731445312,59947.7890625
487.52252197265625,349.2125244140625,5579.1259765625,10923.4365234375,664.0462646484375,59947.7890625
451.4502258300781,315.7149353027344,5377.57568359375,10461.9931640625,540.3513793945312,59895.22265625
494.08111572265625,346.7002258300781,5583.4697265625,10910.4013671875,666.2163696289062,59947.7890625
554.2015991210938,360.0992431640625,5879.71435546875,11439.6279296875,732.4039916992188,59947.7890625
479.8708190917969,343.3504638671875,5504.41357421875,10737.46875,655.365966796875,59947.7890625
486.4294128417969,333.3011779785156,5476.61328125,10666.2099609375,628.2398681640625,59947.7890625
487.52252197265625,331.62628173828125,5467.05712890625,10640.1396484375,624.9847412109375,59947.7890625
